"code","name_it","name_en","parent_code","level","classification_system"
"17","Fabbricazione di carta e di prodotti di carta","Manufacture of paper and paper products","C","2","NACE"
"18","Stampa e riproduzione di supporti registrati","Printing and reproduction of recorded media","C","2","NACE"
"19","Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio","Manufacture of coke and refined petroleum products","C","2","NACE"
"20","Fabbricazione di prodotti chimici","Manufacture of chemicals and chemical products","C","2","NACE"
"21","Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici","Manufacture of basic pharmaceutical products and pharmaceutical preparations","C","2","NACE"
"22","Fabbricazione di prodotti in gomma e in materie plastiche","Manufacture of rubber and plastic products","C","2","NACE"
"23","Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi","Manufacture of other non-metallic mineral products","C","2","NACE"
"24","Fabbricazione di metalli di base","Manufacture of basic metals","C","2","NACE"
"25","Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","Manufacture of fabricated metal products, except machinery and equipment","C","2","NACE"
"26","Fabbricazione di computer e prodotti di elettronica e ottica","Manufacture of computer, electronic and optical products","C","2","NACE"
